标准小区名称,方位角,覆盖场景,横坐标（KM）,纵坐标（KM）
5877,240,乡镇,80.9126,67.3964
7669,310,风景区,46.3196,19.5114
8669,120,风景区,46.3196,19.5114
9669,220,风景区,46.3196,19.5114
3668,0,风景区,45.8878,15.9087
4668,120,风景区,45.8878,15.9087
5668,240,风景区,45.8878,15.9087
3667,0,风景区,47.279,18.9209
4667,130,风景区,47.279,18.9209
5667,270,风景区,47.279,18.9209
8439,20,村庄,10.4349,27.5952
6884,340,城区道路,39.1361,19.13
888,340,高速公路,38.368,22.1378
4888,60,高速公路,37.9285,21.9187
5888,120,高速公路,37.9285,21.9187
777,0,城区道路,47.2288,26.4544
1777,120,城区道路,47.2288,26.4544
937,0,城区道路,36.597,12.4171
1937,100,城区道路,36.597,12.4171
2937,240,城区道路,36.597,12.4171
1086,30,高校,26.7758,25.6026
2086,150,高校,26.7758,25.6026
836,0,商业中心,36.274,24.0604
1836,120,商业中心,36.274,24.0604
2836,270,商业中心,36.274,24.0604
908,340,城区道路,37.5734,10.7815
1908,80,城区道路,37.5734,10.7815
2908,230,城区道路,37.5734,10.7815
4860,40,城区道路,35.9302,29.5801
5860,90,城区道路,35.9302,29.5801
6860,190,城区道路,35.9302,29.5801
12860,50,其他,36.1244,29.4433
13860,120,其他,36.1244,29.4433
14860,270,其他,36.1244,29.4433
2062,150,工业园区,24.7613,24.2127
4937,30,乡镇,36.8621,12.8797
5937,170,乡镇,36.8621,12.8797
6937,270,乡镇,36.8621,12.8797
10937,240,城区道路,37.5762,12.4305
886,45,城区道路,36.9512,28.6627
1886,180,城区道路,36.9512,28.6627
2886,270,城区道路,36.9512,28.6627
4886,40,写字楼,36.4606,28.5493
5886,160,写字楼,36.4606,28.5493
6886,240,写字楼,36.4606,28.5493
10019,90,工业园区,34.7113,27.6453
1019,10,高校,33.5767,27.5863
3019,260,高校,33.5767,27.5863
9020,10,高校,33.8788,27.0459
10020,110,高校,33.8788,27.0459
11020,240,高校,33.8788,27.0459
1020,0,低层居民区,32.7935,27.0326
2020,110,低层居民区,32.7935,27.0326
3020,250,低层居民区,32.7935,27.0326
5020,0,高校,33.5379,27.1749
6020,150,高校,33.5379,27.1749
7020,260,高校,33.5379,27.1749
1225,330,高层居民区,43.8696,30.9856
6527,190,高校,28.6008,19.7649
7527,260,高校,28.6008,19.7649
1179,300,工业园区,28.8612,26.7824
2179,160,工业园区,28.8612,26.7824
3179,230,工业园区,28.8612,26.7824
2527,110,企事业单位,28.3252,20.1552
994,350,写字楼,23.2839,29.9125
1994,110,写字楼,23.2839,29.9125
2994,210,写字楼,23.2839,29.9125
5103,330,休闲娱乐场所,30.189,27.0926
6103,120,休闲娱乐场所,30.189,27.0926
7103,270,休闲娱乐场所,30.189,27.0926
1177,10,高层居民区,28.7703,21.3728
2177,130,高层居民区,28.7703,21.3728
3177,230,高层居民区,28.7703,21.3728
1102,40,商业中心,29.9551,27.0526
2102,150,商业中心,29.9551,27.0526
3102,210,商业中心,29.9551,27.0526
2245,100,高层居民区,27.6026,26.9881
2306,110,商业中心,35.1015,28.9818
1021,0,高校,34.1241,26.7257
2021,120,高校,34.1241,26.7257
3021,260,高校,34.1241,26.7257
1180,0,高校,35.3629,24.8176
2180,120,高校,35.3629,24.8176
3180,270,高校,35.3629,24.8176
1887,100,风景区,37.3177,28.973
2887,240,风景区,37.3177,28.973
919,0,城区道路,37.9863,17.3186
1919,120,城区道路,37.9863,17.3186
2919,240,城区道路,37.9863,17.3186
1461,320,高校,42.6137,18.7819
2461,80,高校,42.6137,18.7819
3461,210,高校,42.6137,18.7819
2116,100,城区道路,25.2709,28.795
3116,250,城区道路,25.2709,28.795
2136,130,企事业单位,28.4909,26.9014
3136,280,企事业单位,28.4909,26.9014
5339,10,企事业单位,21.1369,28.0467
7339,290,企事业单位,21.1369,28.0467
3537,250,集贸市场,36.9275,26.0296
4904,30,风景区,37.509,11.1517
5904,150,风景区,37.509,11.1517
6904,280,风景区,37.509,11.1517
1487,350,城区道路,26.8743,20.4443
2487,80,城区道路,26.8743,20.4443
1470,320,城区道路,42.3656,33.016
3470,250,城区道路,42.3656,33.016
9102,30,工业园区,29.474,25.6983
10498,180,城区道路,35.505,15.6184
3025,220,高校,27.345,18.167
9108,350,低层居民区,29.5981,26.0708
10108,90,低层居民区,29.5981,26.0708
11108,290,低层居民区,29.5981,26.0708
9461,300,高校,42.09,19.4169
10461,120,高校,42.09,19.4169
11461,240,高校,42.09,19.4169
5108,0,高层居民区,31.0594,26.4944
6108,140,高层居民区,31.0594,26.4944
7108,210,高层居民区,31.0594,26.4944
4887,50,星级酒店,37.4342,28.5571
5887,150,星级酒店,37.4342,28.5571
6887,260,星级酒店,37.4342,28.5571
10033,110,城区道路,37.295,29.5912
4991,300,机场,37.4806,21.7886
5991,120,机场,37.4806,21.7886
6991,230,机场,37.4806,21.7886
1193,0,城区道路,19.8242,27.8499
8886,20,中小学,37.7751,28.8206
9886,90,中小学,37.7751,28.8206
10886,310,中小学,37.7751,28.8206
1543,40,工业园区,28.5345,16.1032
5537,20,高层居民区,36.6604,26.0141
6537,120,高层居民区,36.6604,26.0141
