日期(date),天气(weather),最高温度 ℃(maxTemperature ℃),最低温度 ℃(minTemperature ℃),平均温度 ℃(averageTemperature ℃),相对湿度 %(relativeHumidity %),绝对湿度 g/m³(absoluteHumidity g/m³),降水量 mm(precipitation mm),风速 km/h(windSpeed km/h),最大风速 km/h(maxWindSpeed km/h)
20241117,雨,11,9,10,80,8,0,13,22
20241116,雨,20,11,16,93,13,23.6,15,36
20241115,晴,21,16,18,90,14,0,7,11
20241114,晴,25,16,19,82,14,0,7,11
20241113,晴,22,14,18,79,12,0,11,18
20241112,雨,23,10,18,65,10,0,12,18
20241111,晴,23,10,17,66,9,0,9,14
20241110,晴,21,11,16,87,12,0,7,11
20241109,雨,19,11,16,93,12,1,7,14
20241108,晴,19,6,15,66,8,0,11,18
20241107,晴,19,6,13,62,7,0,11,22
20241106,晴,20,6,13,54,6,0,10,18
20241105,晴,21,7,14,62,7,0,7,14
20241104,晴,25,9,16,59,8,0,11,22
20241103,晴,25,9,17,69,10,0,3,7
20241102,晴,23,10,16,68,10,0,4,11
20241101,晴,23,10,15,73,10,0,13,25
20241031,雨,23,12,17,74,11,0,12,22
20241030,晴,22,9,16,68,9,0,13,25
20241029,雾,21,8,15,72,9,0,8,14
20241028,雾,21,0,15,88,11,0,4,11
20241027,雾,20,13,17,86,12,0,6,14
20241026,雨,22,14,17,93,14,9,9,18
20241025,晴,22,10,17,79,11,0,10,22
20241024,晴,21,5,15,70,9,0,9,14
20241023,雾,20,5,13,63,7,0,6,14
20241022,雨,18,6,13,86,9,3,10,25
20241021,雨,19,10,15,91,12,24,9,22
20241020,雨,19,9,15,74,9,0,10,14
20241019,雨,28,9,14,73,9,0,17,29
20241018,晴,28,17,21,79,14,1,20,40
20240819,雨,35,24,28,82,22,33,9,32
20240818,晴,35,26,30,76,23,0,8,18
20240817,雨,34,26,30,80,24,0,9,22
20240816,晴,34,25,30,77,23,0,10,15
20240815,晴,33,25,29,82,23,2,9,18
20240814,雨,36,23,26,92,23,6,7,25
20240813,晴,36,25,29,75,22,0,8,25
20240812,晴,37,26,31,74,23,0,6,16
20240811,晴,38,26,32,68,23,0,8,18
20240810,晴,38,27,32,69,24,0,9,22
20240809,晴,38,27,34,64,23,0,11,18
20240808,晴,38,26,33,71,25,0,9,14
20240807,晴,38,24,32,73,24,0,8,18
20240806,雨,39,24,29,78,22,14,8,36
20240805,晴,39,27,33,64,23,0,10,22
20240804,晴,38,27,33,66,24,0,9,14
20240803,晴,38,27,33,70,24,0,9,14
20240802,雨,36,26,31,78,25,0,11,29
20240801,雨,37,26,30,78,24,4,11,25
20240731,晴,38,28,33,63,22,0,17,25
20240730,晴,38,26,33,63,22,0,12,18
20240729,晴,36,26,31,67,22,0,14,29
20240728,晴,35,27,31,72,23,0,19,40
20240727,雨,33,26,28,86,23,10,15,25
20240726,雨,35,26,29,87,24,22,16,36
20240725,晴,38,28,32,70,23,0,15,25
20240724,雨,39,28,33,68,24,0,11,18
20240723,晴,39,27,34,66,25,0,7,18
20240722,晴,38,27,33,65,24,0,14,22
20240721,晴,38,25,33,67,24,0,17,25
20240720,雨,34,25,29,81,23,0,15,25
20141118,晴,16,2,9,56,5,0,7,11
