时间,小区名称,小区上行平均激活用户数,小区下行平均激活用户数,下行平均使用的PRB个数,上行平均使用的PRB个数
2024/8/3 0:00,779,0.9107,1.4232,30.9877,10.0443
2024/8/3 1:00,779,1.0071,2.3675,31.6349,11.3642
2024/8/3 2:00,779,0.4856,1.0252,26.5365,11.7365
2024/8/3 3:00,779,0.0935,0.0000,31.0763,9.5366
2024/8/3 4:00,779,0.2460,1.3165,31.4907,8.8848
2024/8/3 5:00,779,0.8743,0.9949,24.4553,8.1923
2024/8/3 6:00,779,0.0000,0.3817,27.1911,8.1853
2024/8/3 7:00,779,1.1015,0.2468,34.9420,11.3135
2024/8/3 8:00,779,0.8924,2.6978,21.8638,14.7719
2024/8/3 9:00,779,0.9770,2.2093,37.5395,11.2646
2024/8/3 10:00,779,1.5336,3.4639,32.5020,10.4229
2024/8/3 11:00,779,0.5669,1.4706,26.8457,11.1418
2024/8/3 12:00,779,1.4002,3.7525,39.2747,12.6767
2024/8/3 13:00,779,1.8880,2.5977,37.8060,15.9881
2024/8/3 14:00,779,0.6941,2.4444,42.6528,13.8259
2024/8/3 15:00,779,0.8605,2.8728,33.9528,10.0245
2024/8/3 16:00,779,0.8400,2.0942,28.4697,10.8580
2024/8/3 17:00,779,0.9970,1.6909,25.4417,12.6999
2024/8/3 18:00,779,0.7508,1.6661,18.6579,9.5254
2024/8/3 19:00,779,0.6193,1.0578,15.7242,9.4621
2024/8/3 20:00,779,0.3831,1.1368,13.8209,9.8151
2024/8/3 21:00,779,0.3222,1.5869,22.1505,9.6506
2024/8/3 22:00,779,0.8321,1.9500,21.2266,10.2295
2024/8/3 23:00,779,0.7672,0.9011,18.5681,10.1366
2024/8/18 0:00,779,1.0325,1.5128,26.8703,10.1298
2024/8/18 1:00,779,1.9795,3.7361,43.8804,14.0949
2024/8/18 2:00,779,1.6504,3.0984,38.1051,14.7479
2024/8/18 3:00,779,1.2519,1.1093,36.4320,14.2299
2024/8/18 4:00,779,1.0215,3.0042,40.7166,12.3089
2024/8/18 5:00,779,1.6588,3.0940,35.1905,10.7723
2024/8/18 6:00,779,0.3265,1.4131,37.1900,9.7413
2024/8/18 7:00,779,1.4579,1.2362,39.9044,14.1489
2024/8/18 8:00,779,1.7358,3.3938,29.6675,16.7050
2024/8/18 9:00,779,1.6622,2.2655,39.8193,11.3359
2024/8/18 10:00,779,1.9312,2.6920,27.8015,11.1631
